house_id,total_gas_usage,Block,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
19a7c888,0.0,33,1121,0
234cb4e9,0.0,33,0,0
6ac06add,0.0,33,0,0
5ce7620a,0.0,33,0,0
c8811bcf,0.0,33,0,0
bea806b4,0.0,33,1004,0
f54d566f,0.0,33,1392,0
e8ee0b48,0.0,33,1157,0
b2a5a441,0.0,33,1157,0
a6e1acb7,0.0,18,1283,0
4a4b4176,0.0,18,0,0
47434e58,0.0,18,1189,0
32d18daa,0.0,18,1159,0
bd9b8dc3,0.0,21,0,0
210c5231,0.0,22,0,0
7c5b5663,0.0,33,0,0
13676e0b,0.0,34,0,0
23f1cc94,0.0,34,0,0
74fde5cf,0.0,22,899,0
88c0c842,0.0,22,0,0
1ed32d7e,0.0,22,0,0
65bbd632,0.0,22,0,0
bb948257,0.0,23,1168,0
65348bda,0.0,17,1088,0
41298880,0.0,4,0,0
f8bdf010,0.0,4,0,0
4db1fae9,0.0,19,1083,0
db79632d,0.0,19,0,0
e8078ff7,0.0,27,1227,0
ca2678ce,0.0,27,1154,0
e4d87741,0.0,27,0,0
3293e8e5,0.0,11,0,0
dde641a0,0.0,11,0,0
09da34d4,0.0,11,0,0
13fc714c,0.0,11,0,0
727b10e7,0.0,2,0,0
6eefc594,0.0,2,0,0
aa2ce028,0.0,2,0,0
0abf90bd,0.0,2,0,0
e643b604,0.0,2,0,0
96f0239b,0.0,2,0,0
1cc807cb,0.0,2,0,0
4f891bda,0.0,24,0,0
55d4c002,0.0,24,0,0
603c815c,0.0,24,1233,0
0ce548c9,0.0,24,0,0
7cd909c1,0.0,27,0,0
7fea65af,0.0,14,0,0
1f124458,2499.84,7,1435,27907
f66bd780,0.0,34,1142,0
3668d2f7,0.0,23,0,0
d8ac3d2c,0.0,23,0,0
0f88240d,0.0,27,0,0
a273fec6,0.0,27,0,0
0c78599d,0.0,27,1212,0
43a678d2,0.0,27,1212,0
4007c060,0.0,5,0,0
2b6a4f56,0.0,5,0,0
b4ed1466,0.0,5,0,0
8493c3fc,0.0,5,0,0
50fea0b6,0.0,5,0,0
202ad92a,0.0,5,0,0
ff53a9c2,0.0,5,0,0
327ac7ad,0.0,5,0,0
816af5f5,0.0,5,0,0
34c1aa41,0.0,36,0,0
2771d3af,0.0,36,0,0
5063f91d,0.0,27,0,0
cecbc9e3,0.0,26,0,0
2c1a4a60,0.0,26,0,0
487501d6,0.0,17,1127,0
1c32fb13,0.0,17,0,0
81d17893,0.0,17,1141,0
1584cba4,0.0,18,927,0
cd2d589d,0.0,17,0,0
64c1d48b,0.0,17,0,0
197e6500,0.0,17,0,0
225b2148,0.0,17,0,0
6f90edb1,0.0,17,0,0
04e5e733,0.0,17,0,0
